10001|TUR 101|Virtual (Online)|-|MED|Tuesday|11:30/13:29|--|40|0|AIN_LS, EHN_LS, MBI_LS, MSS_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS
10002|TUR 101|Virtual (Online)|-|MED|Tuesday|11:30/13:29|--|40|0|AIN_LS, EHN_LS, MBI_LS, MSS_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS
10003|TUR 101|Virtual (Online)|-|MED|Tuesday|11:30/13:29|--|40|0|AIN_LS, EHN_LS, MBI_LS, MSS_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS
10004|TUR 101|Virtual (Online)|-|MED|Tuesday|11:30/13:29|--|40|0|AIN_LS, EHN_LS, MBI_LS, MSS_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS
10005|TUR 102|Virtual (Online)|-|MED|Friday|10:30/12:29|--|40|0|AIN_LS, EHN_LS, MBI_LS, MSS_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS
10006|TUR 111|Virtual (Online)|-|MED|Tuesday|08:30/10:29|--|0|0|ARC_LS, BIO_LS, B
